country,bond_name,year,status,rows,from_date,to_date,update_run_timestamp
united kingdom,U.K. 6Y,2000,ok,259,01/01/2000,31/12/2000,
united kingdom,U.K. 6Y,2001,ok,258,01/01/2001,31/12/2001,
united kingdom,U.K. 6Y,2002,ok,258,01/01/2002,31/12/2002,
united kingdom,U.K. 6Y,2003,ok,258,01/01/2003,31/12/2003,
united kingdom,U.K. 6Y,2004,ok,260,01/01/2004,31/12/2004,
united kingdom,U.K. 6Y,2005,ok,259,01/01/2005,31/12/2005,
united kingdom,U.K. 6Y,2006,ok,252,01/01/2006,31/12/2006,
united kingdom,U.K. 6Y,2007,ok,253,01/01/2007,31/12/2007,
united kingdom,U.K. 6Y,2008,ok,254,01/01/2008,31/12/2008,
united kingdom,U.K. 6Y,2009,ok,128,01/01/2009,31/12/2009,
united kingdom,U.K. 6Y,2010,ok,253,01/01/2010,31/12/2010,
united kingdom,U.K. 6Y,2011,ok,251,01/01/2011,31/12/2011,
united kingdom,U.K. 6Y,2012,ok,325,01/01/2012,31/12/2012,
united kingdom,U.K. 6Y,2013,ok,323,01/01/2013,31/12/2013,
united kingdom,U.K. 6Y,2014,ok,322,01/01/2014,31/12/2014,
united kingdom,U.K. 6Y,2015,ok,296,01/01/2015,31/12/2015,
united kingdom,U.K. 6Y,2016,ok,282,01/01/2016,31/12/2016,
united kingdom,U.K. 6Y,2017,ok,283,01/01/2017,31/12/2017,
united kingdom,U.K. 6Y,2018,ok,287,01/01/2018,31/12/2018,
united kingdom,U.K. 6Y,2019,ok,293,01/01/2019,31/12/2019,
united kingdom,U.K. 6Y,2020,ok,305,01/01/2020,31/12/2020,
united kingdom,U.K. 6Y,2021,ok,345,01/01/2021,31/12/2021,
united kingdom,U.K. 6Y,2022,ok,330,01/01/2022,31/12/2022,
united kingdom,U.K. 6Y,2023,ok,357,01/01/2023,31/12/2023,
united kingdom,U.K. 6Y,2024,ok,257,01/01/2024,31/12/2024,
united kingdom,U.K. 6Y,2025,ok,253,01/01/2025,31/12/2025,
united kingdom,U.K. 6Y,2026,ok,49,01/01/2026,11/03/2026,
united kingdom,U.K. 6Y,2026,ok,8,04/03/2026,13/03/2026,2026-03-13 22:59:19
united kingdom,U.K. 6Y,2026,ok,9,06/03/2026,19/03/2026,2026-03-19 10:26:03
