country,bond_name,year,status,rows,from_date,to_date,error
china,China 7Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download China 7Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
china,China 7Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download China 7Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.
china,China 7Y,2002,ok,148,01/01/2002,31/12/2002,
china,China 7Y,2003,ok,255,01/01/2003,31/12/2003,
china,China 7Y,2004,ok,246,01/01/2004,31/12/2004,
china,China 7Y,2005,ok,250,01/01/2005,31/12/2005,
china,China 7Y,2006,ok,251,01/01/2006,31/12/2006,
china,China 7Y,2007,ok,249,01/01/2007,31/12/2007,
china,China 7Y,2008,ok,251,01/01/2008,31/12/2008,
china,China 7Y,2009,ok,249,01/01/2009,31/12/2009,
china,China 7Y,2010,ok,250,01/01/2010,31/12/2010,
china,China 7Y,2011,ok,250,01/01/2011,31/12/2011,
china,China 7Y,2012,ok,266,01/01/2012,31/12/2012,
china,China 7Y,2013,ok,267,01/01/2013,31/12/2013,
china,China 7Y,2014,ok,270,01/01/2014,31/12/2014,
china,China 7Y,2015,ok,261,01/01/2015,31/12/2015,
china,China 7Y,2016,ok,266,01/01/2016,31/12/2016,
china,China 7Y,2017,ok,271,01/01/2017,31/12/2017,
china,China 7Y,2018,ok,251,01/01/2018,31/12/2018,
china,China 7Y,2019,ok,252,01/01/2019,31/12/2019,
china,China 7Y,2020,ok,251,01/01/2020,31/12/2020,
china,China 7Y,2021,ok,253,01/01/2021,31/12/2021,
china,China 7Y,2022,ok,248,01/01/2022,31/12/2022,
china,China 7Y,2023,ok,258,01/01/2023,31/12/2023,
china,China 7Y,2024,ok,254,01/01/2024,31/12/2024,
china,China 7Y,2025,ok,248,01/01/2025,31/12/2025,
china,China 7Y,2026,ok,42,01/01/2026,08/03/2026,
