country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
thailand,Thailand 7Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download Thailand 7Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
thailand,Thailand 7Y,2001,ok,232,01/01/2001,31/12/2001,,
thailand,Thailand 7Y,2002,ok,242,01/01/2002,31/12/2002,,
thailand,Thailand 7Y,2003,ok,247,01/01/2003,31/12/2003,,
thailand,Thailand 7Y,2004,ok,241,01/01/2004,31/12/2004,,
thailand,Thailand 7Y,2005,ok,235,01/01/2005,31/12/2005,,
thailand,Thailand 7Y,2006,ok,232,01/01/2006,31/12/2006,,
thailand,Thailand 7Y,2007,ok,222,01/01/2007,31/12/2007,,
thailand,Thailand 7Y,2008,ok,247,01/01/2008,31/12/2008,,
thailand,Thailand 7Y,2009,ok,239,01/01/2009,31/12/2009,,
thailand,Thailand 7Y,2010,ok,236,01/01/2010,31/12/2010,,
thailand,Thailand 7Y,2011,ok,234,01/01/2011,31/12/2011,,
thailand,Thailand 7Y,2012,ok,257,01/01/2012,31/12/2012,,
thailand,Thailand 7Y,2013,ok,273,01/01/2013,31/12/2013,,
thailand,Thailand 7Y,2014,ok,261,01/01/2014,31/12/2014,,
thailand,Thailand 7Y,2015,ok,257,01/01/2015,31/12/2015,,
thailand,Thailand 7Y,2016,ok,255,01/01/2016,31/12/2016,,
thailand,Thailand 7Y,2017,ok,259,01/01/2017,31/12/2017,,
thailand,Thailand 7Y,2018,ok,247,01/01/2018,31/12/2018,,
thailand,Thailand 7Y,2019,ok,244,01/01/2019,31/12/2019,,
thailand,Thailand 7Y,2020,ok,243,01/01/2020,31/12/2020,,
thailand,Thailand 7Y,2021,ok,218,01/01/2021,31/12/2021,,
thailand,Thailand 7Y,2022,ok,88,01/01/2022,31/12/2022,,
thailand,Thailand 7Y,2023,ok,58,01/01/2023,31/12/2023,,
thailand,Thailand 7Y,2024,ok,31,01/01/2024,31/12/2024,,
thailand,Thailand 7Y,2025,ok,261,01/01/2025,31/12/2025,,
thailand,Thailand 7Y,2026,ok,50,01/01/2026,11/03/2026,,
thailand,Thailand 7Y,2026,ok,8,04/03/2026,13/03/2026,,2026-03-13 22:59:09
thailand,Thailand 7Y,2026,ok,10,06/03/2026,19/03/2026,,2026-03-19 10:25:59
