country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
thailand,Thailand 12Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download Thailand 12Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
thailand,Thailand 12Y,2001,ok,146,01/01/2001,31/12/2001,,
thailand,Thailand 12Y,2002,ok,233,01/01/2002,31/12/2002,,
thailand,Thailand 12Y,2003,ok,246,01/01/2003,31/12/2003,,
thailand,Thailand 12Y,2004,ok,234,01/01/2004,31/12/2004,,
thailand,Thailand 12Y,2005,ok,237,01/01/2005,31/12/2005,,
thailand,Thailand 12Y,2006,ok,229,01/01/2006,31/12/2006,,
thailand,Thailand 12Y,2007,ok,223,01/01/2007,31/12/2007,,
thailand,Thailand 12Y,2008,ok,235,01/01/2008,31/12/2008,,
thailand,Thailand 12Y,2009,ok,236,01/01/2009,31/12/2009,,
thailand,Thailand 12Y,2010,ok,221,01/01/2010,31/12/2010,,
thailand,Thailand 12Y,2011,ok,244,01/01/2011,31/12/2011,,
thailand,Thailand 12Y,2012,ok,257,01/01/2012,31/12/2012,,
thailand,Thailand 12Y,2013,ok,271,01/01/2013,31/12/2013,,
thailand,Thailand 12Y,2014,ok,261,01/01/2014,31/12/2014,,
thailand,Thailand 12Y,2015,ok,254,01/01/2015,31/12/2015,,
thailand,Thailand 12Y,2016,ok,255,01/01/2016,31/12/2016,,
thailand,Thailand 12Y,2017,ok,259,01/01/2017,31/12/2017,,
thailand,Thailand 12Y,2018,ok,248,01/01/2018,31/12/2018,,
thailand,Thailand 12Y,2019,ok,244,01/01/2019,31/12/2019,,
thailand,Thailand 12Y,2020,ok,243,01/01/2020,31/12/2020,,
thailand,Thailand 12Y,2021,ok,218,01/01/2021,31/12/2021,,
thailand,Thailand 12Y,2022,ok,91,01/01/2022,31/12/2022,,
thailand,Thailand 12Y,2023,ok,56,01/01/2023,31/12/2023,,
thailand,Thailand 12Y,2024,ok,2,01/01/2024,31/12/2024,,
thailand,Thailand 12Y,2025,ok,261,01/01/2025,31/12/2025,,
thailand,Thailand 12Y,2026,ok,50,01/01/2026,11/03/2026,,
thailand,Thailand 12Y,2026,ok,8,04/03/2026,13/03/2026,,2026-03-13 22:58:57
thailand,Thailand 12Y,2026,ok,10,06/03/2026,19/03/2026,,2026-03-19 10:25:57
