country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
malaysia,Malaysia 3Y,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Malaysia 3Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3Y,2001,ok,35,01/01/2001,31/12/2001,,
malaysia,Malaysia 3Y,2002,ok,218,01/01/2002,31/12/2002,,
malaysia,Malaysia 3Y,2003,ok,228,01/01/2003,31/12/2003,,
malaysia,Malaysia 3Y,2004,ok,236,01/01/2004,31/12/2004,,
malaysia,Malaysia 3Y,2005,ok,218,01/01/2005,31/12/2005,,
malaysia,Malaysia 3Y,2006,ok,231,01/01/2006,31/12/2006,,
malaysia,Malaysia 3Y,2007,ok,244,01/01/2007,31/12/2007,,
malaysia,Malaysia 3Y,2008,ok,244,01/01/2008,31/12/2008,,
malaysia,Malaysia 3Y,2009,ok,236,01/01/2009,31/12/2009,,
malaysia,Malaysia 3Y,2010,ok,242,01/01/2010,31/12/2010,,
malaysia,Malaysia 3Y,2011,ok,244,01/01/2011,31/12/2011,,
malaysia,Malaysia 3Y,2012,ok,252,01/01/2012,31/12/2012,,
malaysia,Malaysia 3Y,2013,ok,279,01/01/2013,31/12/2013,,
malaysia,Malaysia 3Y,2014,ok,307,01/01/2014,31/12/2014,,
malaysia,Malaysia 3Y,2015,ok,301,01/01/2015,31/12/2015,,
malaysia,Malaysia 3Y,2016,ok,306,01/01/2016,31/12/2016,,
malaysia,Malaysia 3Y,2017,ok,302,01/01/2017,31/12/2017,,
malaysia,Malaysia 3Y,2018,ok,302,01/01/2018,31/12/2018,,
malaysia,Malaysia 3Y,2019,ok,303,01/01/2019,31/12/2019,,
malaysia,Malaysia 3Y,2020,ok,305,01/01/2020,31/12/2020,,
malaysia,Malaysia 3Y,2021,ok,303,01/01/2021,31/12/2021,,
malaysia,Malaysia 3Y,2022,ok,279,01/01/2022,31/12/2022,,
malaysia,Malaysia 3Y,2023,ok,298,01/01/2023,31/12/2023,,
malaysia,Malaysia 3Y,2024,ok,268,01/01/2024,31/12/2024,,
malaysia,Malaysia 3Y,2025,ok,263,01/01/2025,31/12/2025,,
malaysia,Malaysia 3Y,2026,ok,48,01/01/2026,11/03/2026,,
malaysia,Malaysia 3Y,2026,ok,9,04/03/2026,13/03/2026,,2026-03-13 22:53:41
