country,bond_name,year,status,rows,from_date,to_date,update_run_timestamp
canada,Canada 1Y,2000,ok,250,01/01/2000,31/12/2000,
canada,Canada 1Y,2001,ok,249,01/01/2001,31/12/2001,
canada,Canada 1Y,2002,ok,251,01/01/2002,31/12/2002,
canada,Canada 1Y,2003,ok,251,01/01/2003,31/12/2003,
canada,Canada 1Y,2004,ok,253,01/01/2004,31/12/2004,
canada,Canada 1Y,2005,ok,251,01/01/2005,31/12/2005,
canada,Canada 1Y,2006,ok,250,01/01/2006,31/12/2006,
canada,Canada 1Y,2007,ok,251,01/01/2007,31/12/2007,
canada,Canada 1Y,2008,ok,251,01/01/2008,31/12/2008,
canada,Canada 1Y,2009,ok,246,01/01/2009,31/12/2009,
canada,Canada 1Y,2010,ok,290,01/01/2010,31/12/2010,
canada,Canada 1Y,2011,ok,351,01/01/2011,31/12/2011,
canada,Canada 1Y,2012,ok,321,01/01/2012,31/12/2012,
canada,Canada 1Y,2013,ok,299,01/01/2013,31/12/2013,
canada,Canada 1Y,2014,ok,334,01/01/2014,31/12/2014,
canada,Canada 1Y,2015,ok,278,01/01/2015,31/12/2015,
canada,Canada 1Y,2016,ok,264,01/01/2016,31/12/2016,
canada,Canada 1Y,2017,ok,266,01/01/2017,31/12/2017,
canada,Canada 1Y,2018,ok,257,01/01/2018,31/12/2018,
canada,Canada 1Y,2019,ok,254,01/01/2019,31/12/2019,
canada,Canada 1Y,2020,ok,255,01/01/2020,31/12/2020,
canada,Canada 1Y,2021,ok,251,01/01/2021,31/12/2021,
canada,Canada 1Y,2022,ok,249,01/01/2022,31/12/2022,
canada,Canada 1Y,2023,ok,249,01/01/2023,31/12/2023,
canada,Canada 1Y,2024,ok,254,01/01/2024,31/12/2024,
canada,Canada 1Y,2025,ok,249,01/01/2025,31/12/2025,
canada,Canada 1Y,2026,ok,45,01/01/2026,08/03/2026,
canada,Canada 1Y,2026,ok,11,27/02/2026,13/03/2026,2026-03-13 22:51:14
