country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
australia,Australia 15Y,2000,ok,250,01/01/2000,31/12/2000,,
australia,Australia 15Y,2001,ok,252,01/01/2001,31/12/2001,,
australia,Australia 15Y,2002,ok,252,01/01/2002,31/12/2002,,
australia,Australia 15Y,2003,ok,253,01/01/2003,31/12/2003,,
australia,Australia 15Y,2004,ok,254,01/01/2004,31/12/2004,,
australia,Australia 15Y,2005,ok,250,01/01/2005,31/12/2005,,
australia,Australia 15Y,2006,ok,250,01/01/2006,31/12/2006,,
australia,Australia 15Y,2007,ok,261,01/01/2007,31/12/2007,,
australia,Australia 15Y,2008,ok,84,01/01/2008,31/12/2008,,
australia,Australia 15Y,2009,failed,0,01/01/2009,31/12/2009,"Failed to download Australia 15Y from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 15Y,2010,failed,0,01/01/2010,31/12/2010,"Failed to download Australia 15Y from 01/01/2010 to 31/12/2010 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 15Y,2011,ok,43,01/01/2011,31/12/2011,,
australia,Australia 15Y,2012,ok,338,01/01/2012,31/12/2012,,
australia,Australia 15Y,2013,ok,343,01/01/2013,31/12/2013,,
australia,Australia 15Y,2014,ok,345,01/01/2014,31/12/2014,,
australia,Australia 15Y,2015,ok,365,01/01/2015,31/12/2015,,
australia,Australia 15Y,2016,ok,354,01/01/2016,31/12/2016,,
australia,Australia 15Y,2017,ok,343,01/01/2017,31/12/2017,,
australia,Australia 15Y,2018,ok,345,01/01/2018,31/12/2018,,
australia,Australia 15Y,2019,ok,363,01/01/2019,31/12/2019,,
australia,Australia 15Y,2020,ok,327,01/01/2020,31/12/2020,,
australia,Australia 15Y,2021,ok,332,01/01/2021,31/12/2021,,
australia,Australia 15Y,2022,ok,335,01/01/2022,31/12/2022,,
australia,Australia 15Y,2023,ok,336,01/01/2023,31/12/2023,,
australia,Australia 15Y,2024,ok,291,01/01/2024,31/12/2024,,
australia,Australia 15Y,2025,ok,255,01/01/2025,31/12/2025,,
australia,Australia 15Y,2026,ok,46,01/01/2026,08/03/2026,,
australia,Australia 15Y,2026,ok,11,27/02/2026,13/03/2026,,2026-03-13 22:50:37
