country,bond_name,year,status,rows,from_date,to_date,update_run_timestamp
switzerland,Switzerland 8Y,2000,ok,7,01/01/2000,31/12/2000,
switzerland,Switzerland 8Y,2001,ok,2,01/01/2001,31/12/2001,
switzerland,Switzerland 8Y,2002,ok,246,01/01/2002,31/12/2002,
switzerland,Switzerland 8Y,2003,ok,248,01/01/2003,31/12/2003,
switzerland,Switzerland 8Y,2004,ok,247,01/01/2004,31/12/2004,
switzerland,Switzerland 8Y,2005,ok,139,01/01/2005,31/12/2005,
switzerland,Switzerland 8Y,2006,ok,249,01/01/2006,31/12/2006,
switzerland,Switzerland 8Y,2007,ok,250,01/01/2007,31/12/2007,
switzerland,Switzerland 8Y,2008,ok,247,01/01/2008,31/12/2008,
switzerland,Switzerland 8Y,2009,ok,244,01/01/2009,31/12/2009,
switzerland,Switzerland 8Y,2010,ok,248,01/01/2010,31/12/2010,
switzerland,Switzerland 8Y,2011,ok,252,01/01/2011,31/12/2011,
switzerland,Switzerland 8Y,2012,ok,271,01/01/2012,31/12/2012,
switzerland,Switzerland 8Y,2013,ok,277,01/01/2013,31/12/2013,
switzerland,Switzerland 8Y,2014,ok,265,01/01/2014,31/12/2014,
switzerland,Switzerland 8Y,2015,ok,260,01/01/2015,31/12/2015,
switzerland,Switzerland 8Y,2016,ok,264,01/01/2016,31/12/2016,
switzerland,Switzerland 8Y,2017,ok,266,01/01/2017,31/12/2017,
switzerland,Switzerland 8Y,2018,ok,254,01/01/2018,31/12/2018,
switzerland,Switzerland 8Y,2019,ok,249,01/01/2019,31/12/2019,
switzerland,Switzerland 8Y,2020,ok,252,01/01/2020,31/12/2020,
switzerland,Switzerland 8Y,2021,ok,254,01/01/2021,31/12/2021,
switzerland,Switzerland 8Y,2022,ok,254,01/01/2022,31/12/2022,
switzerland,Switzerland 8Y,2023,ok,251,01/01/2023,31/12/2023,
switzerland,Switzerland 8Y,2024,ok,250,01/01/2024,31/12/2024,
switzerland,Switzerland 8Y,2025,ok,252,01/01/2025,31/12/2025,
switzerland,Switzerland 8Y,2026,ok,48,01/01/2026,11/03/2026,
switzerland,Switzerland 8Y,2026,ok,9,03/03/2026,13/03/2026,2026-03-13 22:58:49
